number,identifier,category,rationale
727,ICD:CM,Age - Maternity 9-64 years (Physician),The diagnosis is inconsistent with the patients age. One or more maternity ICD-10 codes are only appropriate for ages 9-64 years and should only be on mothers claim.
728,ICD:CM,L50 Excludes 1,"L50 Urticaria and allergic contact dermatitis (L23-L23.9), angioneurotic edema (T78.3-T78.3XXS), giant urticaria (T78.3-T78.3XXS), hereditary angio-edema (D84.1), Quinckes edema (T78.3-T78.3XXS), serum urticaria (T80.6-T80.69XS), solar urticaria (L56.3), urticaria neonatorum (P83.8), urticaria papulosa (L28.2), and urticaria pigmentosa (D47.01) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
730,VAX,90471 warning,Review units on 90471. Report 90471 for one vaccine and 90472 for each additional vaccine (single or combination vaccine/toxoid).
731,VAX,90473 warning,Review units on 90473. Report 90473 for one vaccine and 90474 for each additional vaccine (single or combination vaccine/toxoid).
732,MCD:SC,NA,"Effective April 1, 2021, the integration of Absolute Total Care and WellCare is complete. Do not file claims with a date of service on or after 04/01/2021 to Wellcare (14163). All Wellcare claims should be billed to Absolute Total Care (68069)."
733,UNVSL,NA,Update the encounter bill type to self-pay for custom codes billed and paid by the patient.
734,UNVSL,Missing IV admin,Review for missing IV infusion code 9636X
735,MCD:MD,NA,Report the appropriate vaccine product CPT code(s) with the SE modifier appended to each code with an established fee.
736,MCD:MD,NA,Do NOT bill a separate CPT vaccine administration code to Medicaid/Medicaid MCO.
737,ICD:CM,R19.4 Excludes 1 with K59.0-K59.09 and K59.1,"R19.4 should not be billed with K59.0-K59.09, K59.1"
738,VAX,NA,"Report codes 90471-90474 for immunization administration of any vaccine that is not accompanied by face-to-face physician or other qualified health care professional counseling the patient and/or family, or for patients over 18 years of age."
739,VAX,NA,Oral vaccines are reported with 90473-90474.
740,VAX,NA,Intranasal vaccines are reported with 90473-90474.
741,INTEG,NA,"Review Coding for Mycotic Nails: Claim should be coded with ICD-10 code B35.1 as a primary code AND L02.611- L02.612, L03.031-L03.032, L03.041-L03.042, M79.671- M79.672, M79.674-M79.675 or R26.2 as a secondary code. Systemic condition modifiers are not necessary for services performed for this indication with these diagnosis codes."
742,INTEG,NA,Review Coding for Systemic Conditions: Routine procedures are covered only if the patient is under the active care of a doctor of medicine or osteopathy or NPP who documents the condition. This provider must be added as the referring provider. The date the patient was last seen by the referring provider should be billed in the Reserved for Local Use box.
743,MEDSV,POS reminder,Review CPT versus place of service. 94002-94003 should be billed in an hospital inpatient/outpatient place of service only.
744,E&M,99202-99215 POS,Review CPT vs place of service. Office or other outpatient visit (99202-99215) should be billed with an outpatient place of service.
745,MCD:CO,NA,Long-acting reversible contraceptive devices can be billed on the CMS 1500 claim form using the appropriate HCPCS codes for the devices and modifier FP.
746,MCD:CO,NA,RHCs that submit a UB-04 must have at least one (1) claim line that identifies revenue code 0521 for RHCs. All other lines on the claim should have the revenue code most appropriate for the service. The line item with revenue code 0521 can appear at any line on the claim and with any procedure code.
747,MCD:CO,NA,RHCs can serve as an originating site allowing a member to connect with a distant provider that is not affiliated with the originating site. The service must be submitted on a 1500 claim form.
748,MCD:CO,NA,Behavioral health claims should be billed on a UB with revenue code 900. Assign appropriate behavioral health dx.
749,MCD:CO,NA,A valid national drug code (NDC) number must be included on all claims and encounters for physician-administered drugs.
750,MCD:CO,NA,Voluntary sterilization is considered a family planning service (requiring the FP modifier with billing). A copy of the CO Medicaid sterilization consent form (MED 178) must be attached to each related claim.
751,MCD:CO,NA,Rural Health Clinics (RHCs) complete the UB-04 claim form for EPSDT-rendered services.
752,MCD:CO,NA,A valid national drug code (NDC) number must be included on all claims for vaccine product codes.
753,MCD:CO,NA,"RHCs may bill an encounter fee even if the only service provided is administering an immunization by a billable provider (MD, PA, NP). Update the revenue code of the administration code to 0521."
754,MCD:CO,NA,"Claims must be submitted with the accurately completed required documentation identifying the affiliated condition associated with the pregnancy. Use modifier G7 - Termination of pregnancy resulting from rape, incest, or certified by physician as life-threatening on abortion codes."
755,MCD:CO,NA,"When billing for family planning services, such as for contraception provision or sterilization procedures, always include the family planning (FP) modifier next to the appropriate procedure code on claims."
756,MCD:CO,NA,"If 3 or fewer antepartum visits are performed or billing outside of the global reimbursement due to unusual circumstances or complications, the appropriate E/M visit code should be billed, with the TH modifier appended to indicate that the visit is pregnancy-related but outside of the OB global billing code."
757,MCD:CO,NA,"Billing for Multiple Infants: Include modifier 59 in the first position for Baby B. Use the delivery date as the date of service. A second modifier XU is required for NCCI edits when the following code combinations are billed: 59410 with 59409, 59610 with 59612 or 59614 with 59612."
758,MCD:CO,NA,"NCCI edits do not allow procedure code 59514 to be combined or billed with codes: 59400, 59409 or 59410."
759,MCD:CO,NA,"If surgical procedures are unilateral (not bilateral) and surgery does not result in sterilization, utilize the appropriate right (RT) or left (LT) modifier with the procedure code on claims. When the unilateral procedure does not lead to complete sterilization, the Med 178 Sterilization Consent Form is not required."
760,BCBS:GA,NA,Providers who have obtained a CLIA Waiver or Provider Performed Microscopy Procedure accreditation must include the “QW” modifier when any CLIA Waived laboratory service is reported on a CMS-1500 claim form in order for the procedure to be evaluated to determine eligibility for benefit coverage.
761,MCD:GA,NA,Providers who have obtained a CLIA Waiver or Provider Performed Microscopy Procedure accreditation must include the QW modifier when any CLIA waived laboratory service is reported on a CMS-1500 claim form in order for the procedure to be evaluated to determine eligibility for benefit coverage.
762,VFC:CO,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $21.68 per dose. Serum codes should be reported as $0.00 if present.
764,VFC:MI,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $23.03 per dose. Serum codes should be reported as $0.00 if present.
765,VAX,NA,"All organizations and providers participating in the CDC COVID-19 Vaccination Program must administer COVID-19 Vaccine at no out-of-pocket cost to the recipient. Review balance as providers may not seek any reimbursement, including through balance billing, from the vaccine recipient UNLESS vaccine was purchased by office. As of 09/11/2023 the CDC COVID-19 Vaccination Program has been discontinued"
766,MCD:MI,NA,Providers who bill physician administered drugs (injectable and non-injectable) separately to Medicaid must report the National Drug Code (NDC) and its supplemental information in addition to the corresponding procedure code (CPT or HCPCS) to assist Medicaid in collecting rebates.
767,MCD:MI,NA,"Therapy services must be reported using the appropriate therapy modifier to distinguish the discipline under which the service is delivered. In addition, when services are habilitative, they must be reported with the appropriate modifier that represents the nature of the therapy. Maintenance therapy visits should also include the MDHHS designated maintenance modifier."
768,MCD:MI,NA,Immunizations included in the Vaccine For Children (VFC) Program are free to providers so the charge for these vaccines must be reported as $0.00 (zero dollars).
769,MCD:MI,NA,All clinical lab services billed to Medicaid must have a referring/ordering Medicaid provider name and NPI.
